-0.26,0.43,-0.3,0.76,-0.14,-0.23,-0.28,-0.81,-0.1,0.58,1.23,0.55,0.71,1.2,0.56,0.18,0.93,1.72,0.13,-0.73,-1.03,1.12,-0.54,0.33,0.2,0.02,0.56,-0.18,-0.12,0.35,0.0,-0.47,-0.22,1.76,0.49,-0.18,1.34,-0.06,-0.02,-0.31,-0.83,0.39,-0.07,-0.6,0.53,0.32,0.0,0.17,0.94,1.09,0.69,-0.53,-0.1,0.88,0.78,0.67,-0.26,0.38,1.66,-0.72,0.23,-0.9,-0.32,0.1,1,2,7,5,5,1,1
-0.15,-0.24,-0.68,-0.27,0.69,0.45,-0.05,-0.58,-0.12,0.41,0.18,-0.78,1.54,-0.53,-0.57,-0.41,-0.9,0.94,-0.43,0.41,1.43,1.28,0.6,-0.59,1.35,-0.75,0.71,-0.13,0.3,0.94,0.16,-0.89,0.37,-0.21,1.14,-0.21,1.45,0.22,-0.61,-0.59,0.87,0.94,-0.63,-0.32,-0.16,-0.43,-0.09,0.18,1.09,-0.49,0.57,-0.03,-0.33,0.66,-0.2,-0.64,-0.03,1.11,0.22,-0.63,0.1,-0.49,1.05,-0.66,2,3,3,6,4,1,1
0.74,-1.09,-0.01,-0.49,-0.71,-0.41,0.28,-1.47,0.45,0.03,0.47,-0.3,1.07,0.63,0.21,0.78,0.98,0.22,0.67,0.08,1.22,0.33,0.95,0.28,0.38,-0.51,-0.2,0.48,2.46,-0.69,0.51,0.45,1.61,0.56,0.64,-0.75,1.47,1.09,0.93,-1.23,0.64,-0.97,0.22,-0.78,0.64,-0.04,0.41,0.1,0.28,-0.83,1.24,-0.13,1.4,0.47,-0.69,-0.25,0.09,-0.69,0.12,0.24,0.26,0.71,0.12,-0.36,2,2,1,1,5,1,0
-1.08,-0.43,0.83,0.98,-0.41,0.01,0.65,0.59,0.12,-0.52,-0.01,-0.88,1.11,0.1,0.1,-1.36,0.37,1.84,-0.02,-0.33,0.81,-1.11,-1.27,-0.17,0.09,0.24,0.28,-0.68,0.72,1.26,0.21,0.33,0.89,0.15,0.87,-0.36,0.27,0.96,0.55,-0.13,0.75,-0.24,-0.5,-0.85,0.51,1.14,0.09,0.14,1.67,0.66,-0.85,0.76,-0.14,0.52,-0.72,0.2,-0.76,-0.59,-0.8,0.5,0.15,0.51,0.7,0.44,0,3,1,5,3,0,0
0.18,0.96,0.01,0.33,0.63,-0.16,-0.24,-0.27,0.23,0.49,0.24,0.61,-0.24,-0.85,-0.29,0.01,1.23,0.36,-0.52,-0.1,0.72,0.5,-0.57,-0.0,0.59,0.01,0.17,0.27,0.63,1.11,-0.15,-0.15,2.08,0.5,0.47,0.76,-0.2,1.73,0.12,0.1,-0.42,0.98,-0.33,0.13,-0.03,1.15,-0.23,-0.07,-0.5,1.72,0.33,0.01,0.53,0.63,-0.19,-0.92,-0.24,0.61,-0.37,0.62,1.74,0.95,-1.22,0.38,0,6,7,6,5,1,-1
-0.19,-0.05,-0.03,0.08,0.26,0.83,1.26,0.79,1.08,2.49,-0.11,-0.48,1.56,0.1,-0.22,0.51,0.54,0.55,0.02,0.25,0.59,0.85,0.45,-0.11,0.94,-0.74,0.32,0.31,1.23,1.24,-0.5,0.61,0.34,1.36,-0.29,-0.39,-0.31,0.57,0.01,-0.4,0.74,1.93,0.93,0.75,0.27,0.35,0.61,-0.72,1.63,0.27,-0.62,-0.11,0.84,0.2,-0.37,-0.28,-0.5,-1.03,-0.15,-0.19,0.37,-0.88,0.69,-0.12,3,8,0,0,7,1,1
-0.84,1.07,-0.38,0.32,-0.48,-0.4,0.27,0.03,0.01,0.01,-0.29,0.78,0.13,1.71,-0.05,-0.41,-0.41,0.28,0.12,-1.05,0.27,0.54,-0.63,1.06,0.96,0.71,0.2,0.69,-0.23,0.22,-0.33,0.08,-0.44,1.67,0.9,1.09,0.53,-1.18,-0.53,0.69,-0.05,1.14,0.74,-0.44,0.29,-0.58,-0.5,0.21,0.36,0.76,0.28,0.26,0.82,0.66,-0.05,-0.27,0.56,-0.56,0.72,0.89,0.14,0.36,-1.14,-0.11,1,4,2,6,6,1,0
0.25,0.16,0.17,0.48,0.53,0.19,-0.17,-0.41,-0.5,0.99,-0.31,0.03,0.38,0.52,-0.48,-0.05,1.84,0.46,1.54,-0.24,1.11,1.01,-0.83,0.68,0.68,0.67,1.19,-0.29,1.07,-0.44,0.18,-0.53,2.06,0.57,-1.12,-0.2,1.36,0.31,0.98,-0.01,1.58,0.34,0.49,-0.25,0.16,-0.33,-0.23,1.04,1.04,-0.03,0.08,-0.19,0.12,0.56,0.74,-0.31,-0.26,-0.57,0.52,-0.2,0.32,-0.07,-0.35,-0.43,2,0,1,0,9,0,0
0.44,-0.27,0.19,0.41,-0.97,0.87,-0.11,0.11,0.07,-0.66,0.0,0.47,0.45,1.25,0.09,0.56,-0.39,0.98,0.3,-0.85,-0.2,0.96,0.01,0.2,0.25,0.96,1.22,-0.79,0.36,1.16,0.25,-0.35,0.48,1.6,0.97,0.49,-0.74,-0.71,-0.03,-0.29,-0.43,1.65,0.89,1.41,-1.08,0.72,-0.63,-0.2,-0.56,1.37,0.05,-0.6,-0.11,-0.05,-1.25,0.84,-0.53,0.06,-0.04,0.57,-0.73,0.43,0.88,0.2,0,3,8,3,4,-1,1
0.21,-0.18,0.19,-0.35,-0.04,-0.35,0.12,-0.19,-0.13,-0.59,1.16,0.33,-0.18,-0.06,0.85,0.3,0.44,-0.18,1.77,-0.72,1.21,1.08,-0.13,-0.18,0.21,0.55,0.35,-0.11,1.58,2.3,0.61,-0.1,0.3,1.54,0.62,-0.24,1.72,1.79,-0.84,0.03,-0.06,0.77,0.72,0.25,0.71,-0.23,0.34,-0.47,-0.81,-0.53,0.29,0.1,0.43,1.98,0.03,1.06,-0.36,-0.08,0.63,1.12,0.83,0.5,0.55,-0.08,1,3,3,0,7,1,1
